id,repo,workstream,task,status,priority,verification,notes
GO-001,go-observability,bootstrap,"Create go.mod for github.com/jainam-panchal/go-observability",done,high,"SMK-GO-000","Implemented in repo root commit e1c0220 with baseline package layout and verified by strict scaffold smoke"
GO-002,go-observability,bootstrap,"Implement telemetry config defaults and environment loader",done,high,"SMK-GO-001","Implemented in telemetry/config.go with tests for defaults, env overrides, invalid fallback, and environment precedence"
GO-003,go-observability,bootstrap,"Implement Init and Shutdown lifecycle for OpenTelemetry providers",todo,high,"SMK-GO-006","Return explicit shutdown function and handle partial init errors"
GO-004,go-observability,logging,"Implement Zap-compatible trace-aware structured logger wrapper",todo,high,"SMK-GO-002","Inject trace_id and span_id when context contains an active span and support container-friendly JSON logging"
GO-005,go-observability,http,"Implement Gin middleware for inbound request tracing and request metrics",todo,high,"SMK-GO-002","Capture route template, status code, duration, and active requests"
GO-006,go-observability,http,"Implement instrumented outbound HTTP client helper",todo,medium,"SMK-GO-002","Preserve context propagation and child spans for outbound calls"
GO-007,go-observability,database,"Implement first-class GORM instrumentation adapter",todo,high,"SMK-GO-003","Support tracing of queries and transactions on an existing *gorm.DB with context propagation"
GO-008,go-observability,database,"Implement secondary raw PostgreSQL or database/sql instrumentation helper",todo,medium,"SMK-GO-003","Keep generic SQL support secondary to the GORM path"
GO-009,go-observability,worker,"Implement worker job instrumentation helper",todo,high,"SMK-GO-004","Create root job span when no upstream context exists"
GO-010,go-observability,docs,"Create generic Go Gin integration guide",todo,high,"SMK-DOC-001","Cover startup, Gin middleware, Zap logging, GORM instrumentation, HTTP clients, workers, env vars, and Docker logging expectations"
GO-011,go-observability,examples,"Add API integration example",todo,medium,"SMK-GO-002","Show startup, middleware, logger, GORM, and HTTP client wiring"
GO-012,go-observability,examples,"Add worker integration example",todo,medium,"SMK-GO-004","Show startup, job span lifecycle, logs, metrics, and DB usage where relevant"
GO-013,go-observability,testing,"Add unit tests for config, logger, middleware, GORM adapter, and worker helpers",todo,high,"SMK-GO-005","Use table-driven tests where appropriate"
GO-014,go-observability,testing,"Run strict quality gate for package changes",todo,high,"gofmt && go vet ./... && go test ./... && go test -race ./... && golangci-lint run","Must pass before GO tasks move to verified"
