id,repo,workstream,task,status,priority,verification,notes
GO-001,go-observability,bootstrap,"Create go.mod for github.com/jainam-panchal/go-observability",done,high,"SMK-GO-000","Implemented in repo root commit e1c0220 with baseline package layout and verified by strict scaffold smoke"
GO-002,go-observability,bootstrap,"Implement telemetry config defaults and environment loader",done,high,"SMK-GO-001","Implemented in telemetry/config.go with tests for defaults, env overrides, invalid fallback, and environment precedence"
GO-003,go-observability,bootstrap,"Implement Init and Shutdown lifecycle for OpenTelemetry providers",done,high,"SMK-GO-006","Implemented in telemetry/telemetry.go with global provider registration, composite propagator, explicit shutdown function, validation, and partial-init cleanup"
GO-004,go-observability,logging,"Implement Zap-compatible trace-aware structured logger wrapper",done,high,"SMK-GO-007","Implemented in logger/logger.go with JSON stdout logging, stable service metadata fields, and context-driven trace/span injection"
GO-005,go-observability,http,"Implement Gin middleware for inbound request tracing and request metrics",done,high,"SMK-GO-008","Implemented in middleware/middleware.go with parent-context extraction, server spans, traced request-context propagation, and low-cardinality request metrics"
GO-006,go-observability,http,"Implement instrumented outbound HTTP client helper",done,medium,"SMK-GO-002","Implemented in httpclient/httpclient.go with instrumented transport and client helpers that preserve context propagation and create outbound client spans"
GO-007,go-observability,database,"Implement first-class GORM instrumentation adapter",done,high,"SMK-GO-009","Implemented in database/gorm.go with upstream GORM OTel tracing, context-preserving adapter wiring, and a lightweight transaction wrapper span"
GO-008,go-observability,database,"Implement secondary raw PostgreSQL or database/sql instrumentation helper",done,medium,"SMK-GO-003","Implemented in database/sql.go with an instrumented database/sql opener, DB stats metric registration, and context-preserving query/transaction tracing"
GO-009,go-observability,worker,"Implement worker job instrumentation helper",done,high,"SMK-GO-004","Implemented in worker/worker.go with job span lifecycle helpers, parent propagation, and worker job metrics"
GO-010,go-observability,docs,"Create generic Go Gin integration guide",done,high,"SMK-DOC-001","Completed in docs/gin-integration-guide.md with generic startup, Gin, Zap, GORM, raw SQL, outbound HTTP, worker, env var, and Docker logging guidance"
GO-011,go-observability,examples,"Add API integration example",done,medium,"SMK-GO-010","Completed in examples/api/main.go with startup, Gin middleware, contextual logging, GORM wiring, and outbound HTTP client usage"
